snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-06,9791282577007,19.9,18.9,5.0,,0.0,18.9,5.0
2026-09-06,9791224209348,49.9,47.4,5.0,,0.0,47.4,5.0
2026-09-06,9791256240357,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-06,9791259576521,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-06,9788804776895,19.5,18.52,5.0,,0.0,18.52,5.0
2026-09-06,9788804796749,11.5,10.92,5.0,,0.0,10.92,5.0
2026-09-06,9788804801832,18.5,17.58,5.0,,0.0,17.58,5.0
2026-09-06,9788804807278,22.0,20.9,5.0,,0.0,20.9,5.0
2026-09-06,9788806225186,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-06,9788806244583,14.0,13.3,5.0,,0.0,13.3,5.0
2026-09-06,9788806271978,17.5,16.62,5.0,,0.0,16.62,5.0
2026-09-06,9788806274504,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-06,9788807037139,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-06,9788807037351,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-06,9788807897450,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-06,9788807901874,9.0,8.55,5.0,,0.0,8.55,5.0
2026-09-06,9788807970078,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-06,9788808599049,49.7,47.22,5.0,,0.0,47.22,5.0
2026-09-06,9788817183499,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-06,9788820086626,21.0,19.95,5.0,,0.0,19.95,5.0
2026-09-06,9788822773876,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822773906,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822773913,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822773920,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822776921,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822776938,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822776952,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822780188,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822780195,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822780201,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822780300,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822781253,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822781277,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822783387,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-06,9788822783790,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822783806,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822783967,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-06,9788822783974,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-06,9788822784896,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822784919,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822784926,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822786333,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-06,9788822786432,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822787149,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-06,9788822787781,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822793669,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822794338,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822796004,14.9,14.16,5.0,,0.0,14.16,5.0
2026-09-06,9788822796028,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-06,9788822796585,29.9,28.4,5.0,,0.0,28.4,5.0
2026-09-06,9788823536104,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-06,9788829608959,14.9,14.16,5.0,,0.0,14.16,5.0
2026-09-06,9788831743006,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-06,9788836232567,58.0,55.1,5.0,,0.0,55.1,5.0
2026-09-06,9788836232581,65.0,61.75,5.0,,0.0,61.75,5.0
2026-09-06,9788836232598,51.0,48.45,5.0,,0.0,48.45,5.0
2026-09-06,9788836232604,52.0,49.4,5.0,,0.0,49.4,5.0
2026-09-06,9788836232635,59.0,56.05,5.0,,0.0,56.05,5.0
2026-09-06,9788838929120,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-06,9788838949968,28.0,26.6,5.0,,0.0,26.6,5.0
2026-09-06,9788842935759,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-06,9788845277078,24.0,9.6,60.0,,0.0,9.6,60.0
2026-09-06,9788845923326,7.0,6.65,5.0,,0.0,6.65,5.0
2026-09-06,9788845925023,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-06,9788845926983,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-06,9788845927867,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-06,9788850241910,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-06,9788858059661,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-06,9788863113457,14.0,5.6,60.0,,0.0,5.6,60.0
