snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-15,9788815397225,2,99
2026-09-15,9788830906471,11,90
2026-09-15,9788829608492,14,87
2026-09-15,9788845924460,30,71
2026-09-15,9788849870312,31,70
2026-09-15,9788806256340,17,68
2026-09-15,2000000170596,34,67
2026-09-15,9788834845783,39,62
2026-09-15,9788842935636,40,61
2026-09-15,9788822783974,37,61
2026-09-15,9791281656383,16,58
2026-09-15,9788845410048,42,55
2026-09-15,9788808599056,51,50
2026-09-15,9788815298492,52,49
2026-09-15,9788807037139,19,49
2026-09-15,9788815383457,53,48
2026-09-15,9788845277634,41,47
2026-09-15,9788815397232,54,47
2026-09-15,9788838950353,7,41
2026-09-15,9788829790135,3,40
2026-09-15,9788822799494,62,39
2026-09-15,9788822783967,58,39
2026-09-15,9788891847560,12,37
2026-09-15,9788806225186,23,36
2026-09-15,9788838625596,66,35
2026-09-15,9788807901874,10,34
2026-09-15,9788849553918,70,31
2026-09-15,9788849561067,71,30
2026-09-15,9788858019672,72,29
2026-09-15,9788863114126,44,28
2026-09-15,9788804729044,35,28
2026-09-15,9788807037191,50,26
2026-09-15,9788863115031,75,26
2026-09-15,9788863115390,76,25
2026-09-15,9788826610931,28,25
2026-09-15,9788822788313,61,25
2026-09-15,9788822783929,57,23
2026-09-15,9791221106381,78,23
2026-09-15,9791223286869,46,23
2026-09-15,9791221110623,79,22
2026-09-15,9788804798675,36,22
2026-09-15,9791221952919,32,22
2026-09-15,9791221120981,80,21
2026-09-15,9788820084790,55,21
2026-09-15,9788891846457,77,20
2026-09-15,9788836232567,9,20
2026-09-15,9791281724785,82,19
2026-09-15,9798219072109,83,18
2026-09-15,9788863113853,74,18
2026-09-15,2000000163055,84,17
2026-09-15,9791259576521,15,17
2026-09-15,9788836232598,29,17
2026-09-15,9788800750608,86,15
2026-09-15,9788804819967,22,14
2026-09-15,9788804771135,87,14
2026-09-15,9788836232635,5,13
2026-09-15,9788804800934,88,13
2026-09-15,2000000163499,48,12
2026-09-15,9788822787149,38,11
2026-09-15,9788804815099,91,10
2026-09-15,9788845925023,21,10
2026-09-15,9788804817680,92,9
2026-09-15,9788804819974,93,8
2026-09-15,9791221934892,45,8
2026-09-15,9788806156756,94,7
2026-09-15,9788806242572,96,5
2026-09-15,9788806265175,98,3
2026-09-15,9791259856265,81,1
2026-09-15,9788822788276,27,1
2026-09-15,9788804776895,6,1
2026-09-15,9788820086626,1,1
2026-09-15,9791224206385,4,0
2026-09-15,9788806273361,18,-1
2026-09-15,9791259578839,8,-2
2026-09-15,9791256240357,13,-3
2026-09-15,9788822788252,26,-7
2026-09-15,9788822783387,25,-7
2026-09-15,9788829608959,20,-9
2026-09-15,9788822762405,56,-16
2026-09-15,9788807037351,24,-19
2026-09-15,9788838935688,67,-20
2026-09-15,9788831743006,65,-20
2026-09-15,9788806262877,97,-27
2026-09-15,9788804776666,49,-28
2026-09-15,9788822788283,59,-30
2026-09-15,9788822788290,60,-30
2026-09-15,9791221957266,33,-30
2026-09-15,9788830152526,64,-33
2026-09-15,9788850241910,43,-34
2026-09-15,9788823536104,63,-35
2026-09-15,9788804813163,90,-37
2026-09-15,2000000163406,47,-37
2026-09-15,9788863113594,73,-39
2026-09-15,9788845934018,69,-40
2026-09-15,2000000163277,85,-46
2026-09-15,9788804807278,89,-54
2026-09-15,9788806216467,95,-58
2026-09-15,9788806272555,99,-61
2026-09-15,9788806274504,100,-65
2026-09-15,9788838949968,68,-67
