snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-21,9788866320326,,,5.0,15,86
2026-09-21,9788850223039,,,5.0,28,73
2026-09-21,9788866321811,,,5.0,30,71
2026-09-21,2000000163635,,,,38,63
2026-09-21,9788806273361,0.0,0.0,5.0,42,58
2026-09-21,9788806245702,0.0,,5.0,41,57
2026-09-21,9788822663870,0.0,0.0,5.0,22,54
2026-09-21,9788845934018,0.0,0.0,5.0,9,49
2026-09-21,9791256240357,0.0,0.0,5.0,17,49
2026-09-21,9788834603000,,,5.0,56,45
2026-09-21,9788836282562,,,5.0,60,41
2026-09-21,9788838611179,,,5.0,61,40
2026-09-21,9788806216467,0.0,0.0,5.0,39,40
2026-09-21,9788807970078,0.0,0.0,5.0,44,40
2026-09-21,9788838949272,,,5.0,62,39
2026-09-21,9788830152526,0.0,0.0,5.0,25,39
2026-09-21,9788845912542,,,5.0,63,38
2026-09-21,2000000163499,,,,12,35
2026-09-21,9791221208870,0.0,,5.0,31,34
2026-09-21,9788863116151,,,50.0,67,34
2026-09-21,9788822796585,0.0,0.0,5.0,23,32
2026-09-21,9791256170326,,,5.0,69,32
2026-09-21,2000000163130,,,,36,31
2026-09-21,2000000163161,,,,71,30
2026-09-21,9791221952919,0.0,0.0,5.0,32,30
2026-09-21,2000000163680,,,,73,28
2026-09-21,9788813388997,0.0,,5.0,45,28
2026-09-21,2000000163277,,,,18,23
2026-09-21,9788804820413,,,5.0,79,22
2026-09-21,9788850337941,0.0,,5.0,29,21
2026-09-21,9788806239831,,,5.0,80,21
2026-09-21,9788806256340,0.0,0.0,5.0,10,20
2026-09-21,9788806242572,0.0,,5.0,81,15
2026-09-21,9788891847560,0.0,0.0,5.0,2,14
2026-09-21,9788809930087,,,,87,14
2026-09-21,9788811017240,,,5.0,88,13
2026-09-21,9788826610931,0.0,0.0,5.0,52,13
2026-09-21,9788836232581,0.0,0.0,5.0,58,12
2026-09-21,9788817188326,,,5.0,90,11
2026-09-21,9788804776895,0.0,0.0,5.0,8,10
2026-09-21,9791259578839,0.0,0.0,5.0,7,10
2026-09-21,9788817200646,,,5.0,91,10
2026-09-21,9791221904673,0.0,0.0,5.0,68,10
2026-09-21,9788804819967,0.0,0.0,5.0,20,8
2026-09-21,9788817183499,0.0,0.0,5.0,21,6
2026-09-21,2000000163406,,,,37,5
2026-09-21,9788822787149,0.0,0.0,5.0,50,3
2026-09-21,9788807037191,0.0,0.0,5.0,11,2
2026-09-21,9788817174459,0.0,0.0,5.0,47,2
2026-09-21,9788822925497,,,5.0,99,2
2026-09-21,9788820075453,0.0,0.0,5.0,6,1
2026-09-21,9788823514423,,,20.0,100,1
2026-09-21,9788804807278,0.0,0.0,5.0,19,0
2026-09-21,9788804817185,0.0,0.0,5.0,1,0
2026-09-21,9791221934892,0.0,0.0,5.0,16,0
2026-09-21,9791259856265,0.0,0.0,5.0,3,0
2026-09-21,9788836232567,0.0,0.0,5.0,57,-1
2026-09-21,9788822783387,0.0,0.0,5.0,95,-1
2026-09-21,9788845925023,0.0,0.0,5.0,5,-1
2026-09-21,9788836232635,0.0,0.0,5.0,59,-2
2026-09-21,9788820086626,0.0,0.0,5.0,4,-2
2026-09-21,9788845926983,0.0,0.0,5.0,27,-2
2026-09-21,9788838949968,0.0,0.0,5.0,26,-3
2026-09-21,9788829608935,0.0,0.0,5.0,14,-4
2026-09-21,9788828869269,0.0,0.0,5.0,13,-4
2026-09-21,9788804807148,0.0,,5.0,77,-4
2026-09-21,9788858333037,0.0,,5.0,65,-5
2026-09-21,9791223209790,0.0,0.0,5.0,33,-6
2026-09-21,9788820077334,0.0,0.0,5.0,92,-6
2026-09-21,9791257910594,0.0,0.0,5.0,35,-8
2026-09-21,9788829790135,0.0,0.0,5.0,24,-9
2026-09-21,9788804780373,0.0,,5.0,76,-10
2026-09-21,9788807037139,0.0,0.0,5.0,43,-10
2026-09-21,9788822783967,0.0,0.0,5.0,48,-12
2026-09-21,9788815397225,0.0,0.0,5.0,46,-14
2026-09-21,9788806274146,0.0,0.0,5.0,84,-14
2026-09-21,2000000163109,,,,70,-17
2026-09-21,9788830154988,0.0,0.0,5.0,54,-17
2026-09-21,9788806225186,0.0,0.0,5.0,40,-21
2026-09-21,9788863114126,0.0,0.0,50.0,66,-22
2026-09-21,9788804732495,0.0,0.0,5.0,74,-26
2026-09-21,9788808064851,0.0,,5.0,86,-27
2026-09-21,9788822783974,0.0,0.0,5.0,49,-28
2026-09-21,9788822781833,0.0,,5.0,94,-29
2026-09-21,9791224206385,0.0,0.0,5.0,34,-29
2026-09-21,9788820077723,0.0,,5.0,93,-32
2026-09-21,9788830465015,0.0,0.0,5.0,55,-33
2026-09-21,9788806271978,0.0,0.0,5.0,83,-33
2026-09-21,9788804817680,0.0,0.0,5.0,78,-33
2026-09-21,9788823536104,0.0,0.0,5.0,51,-37
2026-09-21,9788858059661,0.0,0.0,5.0,64,-38
2026-09-21,9788822788283,0.0,0.0,5.0,97,-38
2026-09-21,9788822788290,0.0,0.0,5.0,98,-38
2026-09-21,9788813389192,0.0,0.0,5.0,89,-41
2026-09-21,9788822786333,0.0,0.0,5.0,96,-43
2026-09-21,2000000163475,,,,72,-44
2026-09-21,9788829608959,0.0,0.0,5.0,53,-47
2026-09-21,9788804776666,0.0,0.0,5.0,75,-48
2026-09-21,9788806271305,0.0,0.0,5.0,82,-51
2026-09-21,9788807903816,0.0,0.0,5.0,85,-59
